Date, Open , High , Low , Last ,Ask High,Bid Low
28-01-14,1.2764,1.2769,1.2719,1.2751,1.2776,1.2719
29-01-14,1.275,1.2774,1.2714,1.2767,1.278,1.2714
30-01-14,1.2771,1.2776,1.2735,1.275,1.2783,1.2735
31-01-14,1.2749,1.2789,1.2738,1.2763,1.2796,1.2738
03-02-14,1.2763,1.2778,1.2736,1.2757,1.2785,1.2736
04-02-14,1.2752,1.2757,1.2664,1.2684,1.2763,1.2664
05-02-14,1.2683,1.2703,1.2665,1.2679,1.2709,1.2665
06-02-14,1.2679,1.2699,1.2665,1.2683,1.2705,1.2665
07-02-14,1.2678,1.2694,1.2656,1.268,1.27,1.2656
10-02-14,1.2673,1.2709,1.2661,1.2703,1.2715,1.2661
11-02-14,1.2706,1.2707,1.2662,1.2673,1.2714,1.2662
12-02-14,1.2669,1.2681,1.2635,1.2657,1.2688,1.2635
13-02-14,1.2657,1.2681,1.2638,1.2646,1.2687,1.2638
14-02-14,1.2646,1.2656,1.2579,1.259,1.2664,1.2579
17-02-14,1.2585,1.2604,1.2575,1.2587,1.261,1.2575
18-02-14,1.2587,1.2626,1.258,1.2606,1.2633,1.258
19-02-14,1.2604,1.2636,1.2592,1.2628,1.2642,1.2592
20-02-14,1.2633,1.2666,1.2622,1.2634,1.2672,1.2622
21-02-14,1.2636,1.2692,1.263,1.2665,1.2697,1.263
24-02-14,1.2665,1.2685,1.2617,1.2621,1.269,1.2617
25-02-14,1.2624,1.2656,1.2606,1.2637,1.2662,1.2606
26-02-14,1.2632,1.2668,1.2625,1.2659,1.2674,1.2625
27-02-14,1.2662,1.2677,1.263,1.2637,1.2683,1.263
28-02-14,1.2633,1.2679,1.2633,1.2672,1.2686,1.2633
03-03-14,1.2675,1.2723,1.2655,1.2704,1.2732,1.2655
04-03-14,1.2703,1.2722,1.2675,1.269,1.2729,1.2675
05-03-14,1.2689,1.2715,1.2677,1.2697,1.2721,1.2677
06-03-14,1.2697,1.2701,1.2622,1.2631,1.2707,1.2622
07-03-14,1.2626,1.269,1.2621,1.2683,1.2696,1.2621
10-03-14,1.2673,1.27,1.2663,1.2686,1.2705,1.2663
11-03-14,1.2681,1.2687,1.2647,1.2674,1.2695,1.2647
12-03-14,1.2671,1.2699,1.2654,1.2662,1.2704,1.2654
13-03-14,1.2657,1.2675,1.2629,1.2663,1.2682,1.2629
14-03-14,1.2661,1.2675,1.2637,1.2654,1.2681,1.2637
17-03-14,1.2644,1.2672,1.2631,1.2636,1.2678,1.2631
18-03-14,1.2636,1.2666,1.2626,1.2629,1.2672,1.2626
19-03-14,1.2632,1.2746,1.263,1.2737,1.2753,1.263
20-03-14,1.2731,1.2793,1.2719,1.2771,1.2799,1.2719
21-03-14,1.2774,1.2779,1.2728,1.2739,1.2787,1.2728
24-03-14,1.2731,1.2749,1.2697,1.2709,1.2753,1.2697
25-03-14,1.2704,1.2718,1.2669,1.2676,1.2724,1.2669
26-03-14,1.2676,1.2694,1.2654,1.2672,1.2699,1.2654
27-03-14,1.2672,1.2673,1.2624,1.2638,1.2682,1.2624
28-03-14,1.2639,1.2643,1.2577,1.2579,1.2652,1.2577
31-03-14,1.2582,1.2619,1.2563,1.2573,1.2626,1.2563
01-04-14,1.2571,1.2606,1.2567,1.2588,1.2611,1.2567
02-04-14,1.2588,1.2628,1.2585,1.2623,1.2634,1.2585
03-04-14,1.262,1.2641,1.2607,1.2628,1.2647,1.2607
04-04-14,1.2629,1.2649,1.2577,1.2587,1.2655,1.2577
07-04-14,1.259,1.2618,1.2583,1.2587,1.2623,1.2583
08-04-14,1.2587,1.2603,1.2505,1.2511,1.2609,1.2505
09-04-14,1.2506,1.2526,1.2445,1.2462,1.2532,1.2445
10-04-14,1.2462,1.2501,1.2448,1.2499,1.2508,1.2448
11-04-14,1.2494,1.2513,1.246,1.2481,1.252,1.246
14-04-14,1.2485,1.2539,1.2469,1.2526,1.2545,1.2469
15-04-14,1.2529,1.2546,1.2511,1.2524,1.2551,1.2511
16-04-14,1.2519,1.2542,1.2492,1.2506,1.2549,1.2492
17-04-14,1.2502,1.253,1.2481,1.2519,1.2536,1.2481
18-04-14,1.2525,1.2535,1.2507,1.2523,1.2539,1.2507
21-04-14,1.2517,1.2535,1.2505,1.2525,1.2541,1.2505
22-04-14,1.2525,1.2569,1.2511,1.2554,1.2575,1.2511
23-04-14,1.2552,1.2584,1.255,1.2558,1.2589,1.255
24-04-14,1.2558,1.2593,1.2542,1.2576,1.2598,1.2542
25-04-14,1.2572,1.2595,1.2546,1.2565,1.2602,1.2546
28-04-14,1.2557,1.2572,1.2543,1.2566,1.2578,1.2543
29-04-14,1.2558,1.258,1.2544,1.2559,1.2586,1.2544
30-04-14,1.2553,1.2569,1.2528,1.2535,1.2574,1.2528
01-05-14,1.253,1.2541,1.2516,1.2521,1.2546,1.2516
02-05-14,1.2521,1.2569,1.2513,1.2529,1.2575,1.2513
05-05-14,1.2519,1.2519,1.2484,1.2495,1.253,1.2484
06-05-14,1.2499,1.2511,1.2459,1.2469,1.2518,1.2459
07-05-14,1.2467,1.2496,1.2463,1.2489,1.2502,1.2463
08-05-14,1.2486,1.2506,1.2449,1.2473,1.2512,1.2449
09-05-14,1.2469,1.2493,1.2458,1.2484,1.25,1.2458
12-05-14,1.2485,1.251,1.2477,1.2507,1.2516,1.2477
13-05-14,1.2503,1.2538,1.2495,1.2516,1.2545,1.2495
14-05-14,1.2515,1.2527,1.2476,1.2496,1.2534,1.2476
15-05-14,1.2497,1.2537,1.2488,1.252,1.2543,1.2488
16-05-14,1.2519,1.2541,1.2494,1.2507,1.2547,1.2494
